,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
296,P297,Euphorbia lathyris L.,Kreuzblaettrige Wolfsmilch,Caper spurge,Euphorbia,Euphorbiaceae,Mediterranean and Asia,16,alien,Weed and ruderal plant,Jun.-Aug.,"Latex, seed (or whole plant)",strong toxic,strong toxic,,,,Euphorbia lathyris,Euphorbia lathyris,347072-1,347072-1,Species,TPPT
297,P298,Euphorbia nutans Lag.,Nickende Wolfsmilch,,Euphorbia,Euphorbiaceae,North America,9,alien,Weed and ruderal plant,Jul.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia nutans,Euphorbia nutans,101777-2,101777-2,Species,TPPT
298,P299,Euphorbia humifusa Willd.,Niederligende Wolfsmilch,,Euphorbia,Euphorbiaceae,Asia,6,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia humifusa,Euphorbia humifusa,346840-1,346840-1,Species,TPPT
299,P300,Euphorbia chamaesyce L.,Zwerg-Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,0.2,domestic,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia chamaesyce,Euphorbia chamaesyce,346005-1,346005-1,Species,TPPT
300,P301,Euphorbia maculata L.,Gefleckte Wolfsmilch,Spotted spurge,Euphorbia,Euphorbiaceae,North America,21,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia maculata,Euphorbia maculata,347236-1,347236-1,Species,TPPT
301,P302,Euphorbia prostrata Aiton,Hingestreckte Wolfsmilch,,Euphorbia,Euphorbiaceae,South America,6,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia prostrata,Euphorbia prostrata,101913-2,101913-2,Species,TPPT
302,P303,Euphorbia palustris L.,Sumpf-Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe and Asia,3,domestic,Shore- and marsh plant,May-Jun.,"Latex, seed (or whole plant)",toxic,strong toxic,,,,Euphorbia palustris,Euphorbia palustris,347635-1,347635-1,Species,TPPT
303,P304,Euphorbia dulcis L.,Suesse Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe,44,domestic,Forest plant,Apr.-Jun.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia dulcis,Euphorbia dulcis,346333-1,346333-1,Species,TPPT
304,P305,Euphorbia carniolica Jacq.,Krainer Wolfsmilch,,Euphorbia,Euphorbiaceae,South-eastern Europe,0.3,domestic,Forest plant,Jun.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia carniolica,Euphorbia carniolica,345952-1,345952-1,Species,TPPT
305,P306,Euphorbia verrucosa L.,Warzige Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern and Central Europe,21,domestic,Xerophyte,May-Jun.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia verrucosa,Euphorbia verrucosa,348671-1,348671-1,Species,TPPT
306,P307,Euphorbia platyphyllos L.,Breiblaettrige Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern Europe,20,domestic,Forest plant,Jun.-Aug.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia platyphyllos,Euphorbia platyphyllos,347813-1,347813-1,Species,TPPT
307,P308,Euphorbia stricta L.,Steife Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe and Western Asia,30,domestic,Forest plant,Jun.-Jul.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia stricta,Euphorbia stricta,348373-1,348373-1,Species,TPPT
308,P309,Euphorbia helioscopia L.,Sonnenwend-Wolfsmilch,Sun spurge,Euphorbia,Euphorbiaceae,Europe and Asia,53,domestic,Weed and ruderal plant,Apr.-Sep.,"Latex, seed (or whole plant)",toxic,strong toxic,,,,Euphorbia helioscopia,Euphorbia helioscopia,346754-1,346754-1,Species,TPPT
309,P310,Euphorbia peplus L.,Garten-Wolfsmilch,Petty spurge,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,52,domestic,Weed and ruderal plant,Jun.-Oct.,"Latex, seed (or whole plant)",toxic,strong toxic,,,,Euphorbia peplus,Euphorbia peplus,347724-1,347724-1,Species,TPPT
310,P311,Euphorbia exigua L.,Kleine Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,26,domestic,Weed and ruderal plant,May-Oct.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia exigua,Euphorbia exigua,346469-1,346469-1,Species,TPPT
311,P312,Euphorbia falcata L.,Sichelblaettrige Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,3,domestic,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia falcata,Euphorbia falcata,332094-2,332094-2,Species,TPPT
312,P313,Euphorbia segetalis L.,Saat-Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,0.7,domestic,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia segetalis,Euphorbia segetalis,348217-1,348217-1,Species,TPPT
313,P314,Euphorbia amygdaloides L.,Mandelblaettrige Wolfsmilch,Wood spurge,Euphorbia,Euphorbiaceae,Europe and Western Asia,24,domestic,Forest plant,Apr.-Jun.,Latex (or whole plant),toxic,,,,,Euphorbia amygdaloides,Euphorbia amygdaloides,345568-1,345568-1,Species,TPPT
314,P315,Euphorbia seguieriana Neck. s.str.,Steppen-Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern Europe and Western Asia,4,domestic,Pioneer plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia seguieriana,Euphorbia seguieriana,348221-1,348221-1,Species,TPPT
315,P316,Euphorbia myrsinites L.,Myrten-Wolfsmilch,Myrtle spurge,Euphorbia,Euphorbiaceae,Southern Europe,1.5,alien,Ornamental garden plant,May-Jun.,"Latex, seed (or whole plant)",toxic,,,yes,,Euphorbia myrsinites,Euphorbia myrsinites,347445-1,347445-1,Species,TPPT
316,P317,Euphorbia virgata Waldst. & Kit.,Rutenfoermige Wolfsmilch,,Euphorbia,Euphorbiaceae,South-eastern Europe and Asia,9,alien,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,,Euphorbia virgata,Euphorbia virgata,348706-1,348706-1,Species,TPPT
317,P318,Euphorbia esula L.,Scharfe Wolfsmilch,Leafy spurge,Euphorbia,Euphorbiaceae,Europe and Siberia,rarely introduced,alien,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,strong toxic,,,,Euphorbia esula,Euphorbia esula,346448-1,346448-1,Species,TPPT
318,P319,Euphorbia cyparissias L.,Zypressenblaettrige Wolfsmilch,Cypress spurge,Euphorbia,Euphorbiaceae,Europe,83,domestic,Xerophyte,Apr.-Jun.,"Latex, seed (or whole plant)",toxic,strong toxic,,,,Euphorbia cyparissias,Euphorbia cyparissias,346205-1,346205-1,Species,TPPT
319,P320,Euphorbia marginata Pursh,Weissrand-Wolfsmilch,Whitemargined spurge,Euphorbia,Euphorbiaceae,North America,rarely introduced,alien,Ornamental garden plant,,"Latex, seed (or whole plant)",toxic,strong toxic,,yes,,Euphorbia marginata,Euphorbia marginata,101724-2,101724-2,Species,TPPT
320,P321,Ricinus communis L.,Rizinus,Castor bean,Ricinus,Euphorbiaceae,Africa,rarely introduced,alien,Ornamental garden plant,Aug.-Oct.,Seed,very strong toxic,very strong toxic,,yes,,Ricinus communis,Ricinus communis,355498-1,355498-1,Species,TPPT
321,P322,Linum usitatissimum L.,Flachs,Flax,Linum,Linaceae,global,agriculture,domestic,Agricultural plant,Jun.-Jul.,Seed,toxic,very strong toxic,,,yes,Linum usitatissimum,Linum usitatissimum,544772-1,544772-1,Species,TPPT
322,P323,Linum alpinum Jacq.,Alpen-Lein,Alpine flax,Linum,Linaceae,Southern and Central Europe,10,domestic,Mountain plant,Jun.-Jul.,Seed,weak toxic,,,,,Linum alpinum,Linum alpinum,544315-1,544315-1,Species,TPPT
323,P324,Linum austriacum L.,Oesterreicher Lein,Asian flax,Linum,Linaceae,Mediterranean,6,domestic,Xerophyte,Jun.-Jul.,Seed,weak toxic,,,,,Linum austriacum,Linum austriacum,544354-1,544354-1,Species,TPPT
324,P325,Linum carharticum L.,Purgier-Lein,Fairy flax,Linum,Linaceae,Europe and Western Asia,87,domestic,Shore- and marsh plant,May-Aug.,Seed,weak toxic,,,,,Linum,,,24945-1,Genus,TPPT
325,P326,Linum tenuifolim L.,Feinblaettriger Lein,,Linum,Linaceae,Mediterranean,12,domestic,Xerophyte,Jun.-Jul.,Seed,weak toxic,,,,,Linum,,,24945-1,Genus,TPPT
326,P327,Oxalis acetosella L.,Wald-Sauerklee,Common wood-sorrel,Oxalis,Oxalidaceae,"Europe, Asia and North America",68,domestic,Forest plant,Apr.-Jun.,Aerial part (or whole plant),toxic,toxic,,,,Oxalis acetosella,Oxalis acetosella,30012601-2,30012601-2,Species,TPPT
327,P328,Oxalis corniculata L.,Gehoernter Sauerklee,Creeping wood-sorrel,Oxalis,Oxalidaceae,Southern Europe and Asia,26,domestic,Weed and ruderal plant,Apr.-Oct.,Aerial part (or whole plant),toxic,toxic,,,,Oxalis corniculata,Oxalis corniculata,177893-2,177893-2,Species,TPPT
328,P329,Oxalis stricta L.,Aufrechter Sauerklee,Common xellow wood-sorrel,Oxalis,Oxalidaceae,Eastern Asia,45,alien,Weed and ruderal plant,Jun.-Sep.,Aerial part (or whole plant),toxic,toxic,,,,Oxalis stricta,Oxalis stricta,178499-2,178499-2,Species,TPPT
330,P331,Gossypium hirsutum L.,Baumwolle,Upland cotton,Gossypium,Malvaceae,Central America,0,alien,Agricultural plant,,"Root bark, seed (or whole plant)",toxic (unknown strength),,,,,Gossypium hirsutum,Gossypium hirsutum,30042843-2,30042843-2,Species,TPPT
332,P333,Daphne mezereum L.,Echter Seidelbast,February daphne,Daphne,Thymelaeaceae,Europe and Western Asia,83,domestic,Forest plant,Feb.-Apr.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,very strong toxic,,,,Daphne mezereum,Daphne mezereum,831294-1,831294-1,Species,TPPT
333,P334,Daphne alpina L.,Alpen-Seidelbast,Mountain daphne,Daphne,Thymelaeaceae,Southern and Central Europe,9,domestic,Pioneer plant,May-Jun.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,,Daphne alpina,Daphne alpina,831134-1,831134-1,Species,TPPT
334,P335,Daphne cneorum L.,Flaumiger Seidelbast,Rose daphne,Daphne,Thymelaeaceae,Southern and Central Europe,2,domestic,Xerophyte,May,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,,Daphne cneorum,Daphne cneorum,831193-1,831193-1,Species,TPPT
335,P336,Daphne striata Tratt.,Gestreifter Seidelbast,Striped daphne,Daphne,Thymelaeaceae,Alps,24,domestic,Mountain plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,,Daphne striata,Daphne striata,831364-1,831364-1,Species,TPPT
336,P337,Daphne laureola L.,Lorbeer-Seidelbast,Laurel-leaved daphne,Daphne,Thymelaeaceae,South-western Europe,13,domestic,Forest plant,Mar.-Apr.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,,Daphne laureola,Daphne laureola,831270-1,831270-1,Species,TPPT
337,P338,Thymelaea passerina (L.) Coss. & Germ.,Spatzenzunge,Yitran,Thymelaea,Thymelaeaceae,Mediterranean and Western Asia,2,domestic,Weed and ruderal plant,Jul.-Sep.,,strong toxic,,,,,Thymelaea passerina,Thymelaea passerina,77085178-1,77085178-1,Species,TPPT
338,P339,Sisymbrium officinale (L.) Scop.,Weg-Rauke,Hedge mustard,Sisymbrium,Brassicaceae,Europe and Asia,49,domestic,Weed and ruderal plant,May-Aug.,Whole plant,toxic,,,,,Sisymbrium officinale,Sisymbrium officinale,289589-1,289589-1,Species,TPPT
339,P340,Sisymbrium austriacum Jacq.,Oesterreicher Rauke,,Sisymbrium,Brassicaceae,Western Europe,6,domestic,Pioneer plant,May-Jun.,Whole plant,toxic,,,,,Sisymbrium austriacum,Sisymbrium austriacum,289186-1,289186-1,Species,TPPT
340,P341,Sisymbrium irio L.,Schlaffe Ranke,,Sisymbrium,Brassicaceae,Mediterranean,3,alien,Weed and ruderal plant,May-Jul.,Whole plant,toxic,,,,,Sisymbrium irio,Sisymbrium irio,237940-2,237940-2,Species,TPPT
341,P342,Sisymbrium strictissimum L.,Steife Rauke,,Sisymbrium,Brassicaceae,Eastern Europe,3,domestic,Weed and ruderal plant,Jul.,Whole plant,toxic,,,,,Sisymbrium strictissimum,Sisymbrium strictissimum,324701-2,324701-2,Species,TPPT
343,P344,Erysimum cheiri (L.) Crantz,Goldlack,,Erysimum,Brassicaceae,Mediterranean,7,domestic,Weed and ruderal plant,Apr.-May,Whole plant,strong toxic,,,,,Erysimum × cheiri,Erysimum × cheiri,283703-1,283703-1,Species,TPPT
344,P345,Erysimum rhaeticum (Hornem.) DC.,Schweizer Schoeterich,Swiss wallflower,Erysimum,Brassicaceae,Southern and Central Europe,10,domestic,Mountain plant,Jun.-Jul.,Whole plant,toxic,,,,,Erysimum rhaeticum,Erysimum rhaeticum,284134-1,284134-1,Species,TPPT
345,P346,Erysimum ochroleucum (Schleich.) DC.,Blassgelber Schoeterich,,Erysimum,Brassicaceae,Alps,0.8,domestic,Mountain plant,Jun.,Whole plant,toxic,,,,,Erysimum ochroleucum,Erysimum ochroleucum,284032-1,284032-1,Species,TPPT
346,P347,Erysimum hieraciifolium auct.,Habichtskraut-Ruten-Schoeterich,European wallflower,Erysimum,Brassicaceae,Europe and Asia,2,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,toxic,,,,,Erysimum odoratum,Erysimum odoratum,284035-1,284035-1,Species,TPPT
347,P348,Erysimum virgatum Roth,Gewoehnlicher Ruten-Schoeterich,,Erysimum,Brassicaceae,Alps,4,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,toxic,,,,,Erysimum virgatum,Erysimum virgatum,284256-1,284256-1,Species,TPPT
348,P349,Erysimum repandum L.,Brachen-Schoeterich,,Erysimum,Brassicaceae,South-eastern Europe,0.5,alien,Weed and ruderal plant,Apr.-Jun.,Whole plant,toxic,,,,,Erysimum repandum,Erysimum repandum,324654-2,324654-2,Species,TPPT
349,P350,Erysimum cheiranthoides L.,Acker-Schoeterich,Wormseed wallflower,Erysimum,Brassicaceae,global,23,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,toxic,,,,,Erysimum cheiranthoides,Erysimum cheiranthoides,307231-2,307231-2,Species,TPPT
350,P351,Hesperis matronalis L.,Gemeine Nachtviole,Dame's violet,Hesperis,Brassicaceae,Southern Europe and Western Asia,27,domestic,Forest plant,May-Jun.,"Whole plant, highest concentrations in seed",weak toxic,,,,,Hesperis matronalis,Hesperis matronalis,285087-1,285087-1,Species,TPPT
352,P353,Berteroa incana (L.) DC.,Graukresse,Hoary Alyssum,Berteroa,Brassicaceae,Eastern Europe and Asia,8,domestic,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in seed",toxic,toxic,,,,Berteroa incana,Berteroa incana,278924-1,278924-1,Species,TPPT
353,P354,Iberis amara L.,Bitterer Bauernsenf,Rocket cadytuft,Iberis,Brassicaceae,Western Europe,1.5,domestic,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in seed",toxic,,,yes,,Iberis amara,Iberis amara,324660-2,324660-2,Species,TPPT
354,P355,Iberis sempervirens L.,Immergruener Bauernsenf,,Iberis,Brassicaceae,Mediterranean,rarely introduced,domestic,Ornamental garden plant,May-Jun.,"Whole plant, highest concentrations in seed",toxic,,,yes,,Iberis sempervirens,Iberis sempervirens,324670-2,324670-2,Species,TPPT
355,P356,Iberis umbellata L.,Doldiger Bauernsenf,,Iberis,Brassicaceae,Southern Europe,occasionally introduced,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",toxic,,,yes,,Iberis umbellata,Iberis umbellata,324671-2,324671-2,Species,TPPT
365,P366,Brassica nigra (L.) W. D. J. Koch,Schwarzer Senf,Black moustard,Brassica,Brassicaceae,Mediterranean,2,domestic,Weed and ruderal plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",toxic,strong toxic,,,,Brassica nigra,Brassica nigra,279422-1,279422-1,Species,TPPT
368,P369,Nasturtium officinale R. Br.,Echte Brunnenkresse,Water-cress,Nasturtium,Brassicaceae,global,agriculture,domestic,Fresh water plant,Jun.-Sep.,Herb,weak toxic,,,,yes,Nasturtium officinale,Nasturtium officinale,287534-1,287534-1,Species,TPPT
370,P371,Isatis tinctoria L.,Faerber-Waid,Dyer's woad,Isatis,Brassicaceae,Mediterranean and Western Asia,1,domestic,Weed and ruderal plant,Apr.-Jun.,Leaf,weak toxic,,,,,Isatis tinctoria,Isatis tinctoria,285873-1,285873-1,Species,TPPT
371,P372,Aesculus hippocastanum L.,Rosskastanie,Horse-chestnut,Aesculus,Sapindaceae,South-eastern Europe,occasionally introduced ,domestic,Ornamental garden plant,Apr.-May,"Fruit, seed",weak toxic,strong toxic,,yes,,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,TPPT
372,P373,Acer pseudoplatanus L.,Berg-Ahorn,Sycamore maple,Acer,Sapindaceae,Europe and Western Asia,65,domestic,Forest plant,Apr.-May,Leaf (or whole plant),weak toxic,toxic (horse),,,,Acer pseudoplatanus,Acer pseudoplatanus,781462-1,781462-1,Species,TPPT
373,P374,Acer negundo L.,Eschen-Ahorn,Boxelder maple,Acer,Sapindaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Apr.-May,Leaf (or whole plant),weak toxic,toxic (horse),,yes,,Acer negundo,Acer negundo,781412-1,781412-1,Species,TPPT
374,P375,Acer velutinum Boiss.,Samt-Ahorn,Velvet maple,Acer,Sapindaceae,Asia,0,alien,Ornamental garden plant,May,Leaf (or whole plant),weak toxic,toxic (horse),,yes,,Acer velutinum,Acer velutinum,781558-1,781558-1,Species,TPPT
378,P379,Ailanthus altissima (Mill.) Swingle,Goetterbaum,Tree of heaven,Ailanthus,Simaroubaceae,Asia,16,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,toxic,,yes,yes,,Ailanthus altissima,Ailanthus altissima,813521-1,813521-1,Species,TPPT
379,P380,Ruta graveolens L.,Wein-Raute,Common rue,Ruta,Rutaceae,South-eastern Europe,5,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,toxic,,,yes,,Ruta graveolens,Ruta graveolens,775099-1,775099-1,Species,TPPT
380,P381,Dictamnus albus L.,Weisser Diptam,Dittany,Dictamnus,Rutaceae,South-eastern Europe and Asia,2,domestic,Xerophyte,May-Jun.,Whole plant,weak toxic,,,,,Dictamnus albus,Dictamnus albus,772356-1,772356-1,Species,TPPT
381,P382,Skimmia japonica Thunb.,Japanische Skimmie,Japanese Skimmia,Skimmia,Rutaceae,Eastern Asia,0,alien,Ornamental garden plant,Mar.-May,Whole plant,weak toxic,,,yes,,Skimmia japonica,Skimmia japonica,775237-1,775237-1,Species,TPPT
382,P383,Punica granatum L.,Granatapfelbaum,Pomergranate,Punica,Lythraceae,Western Asia and Northern Africa,rarely introduced,alien,Ornamental garden plant,Jun.,"Fruit, root cortex, tree bark",toxic,,,yes,,Punica granatum,Punica granatum,554129-1,554129-1,Species,TPPT
391,P392,"Viscum album L. s.l. (V. album L. s.str., V. album subsp. abietis (Wiesb.) Abrom. and V. album subsp. austriacum (Wiesb.) Vollm.)",Mistel,Mistletoe,Viscum,Santalaceae,Europe and Asia,41,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,weak toxic,,,,Viscum album,Viscum album,300881-2,300881-2,Species,TPPT
392,P393,Phytolacca americana L.,Amerikanische Kermsbeere,Virginian poke,Phytolacca,Phytolaccaceae,North America,6,alien,Ornamental garden plant,Jul.,"Whole plant, highest concentrations in root, seed",toxic,,yes,yes,,Phytolacca americana,Phytolacca americana,323290-2,323290-2,Species,TPPT
393,P394,Phytolacca esculenta Van Houtte,Essbare Kermesbeere,,Phytolacca,Phytolaccaceae,Eastern Asia,rarely introduced,alien,Ornamental garden plant,Jul.,"Whole plant, highest concentrations in root, seed",toxic (unknown strength),,,yes,,Phytolacca acinosa,Phytolacca acinosa,676329-1,676329-1,Species,TPPT
394,P395,Opuntia humifusa (Raf.) Raf.,Gemeiner Feigenkaktus,Devil's tongue,Opuntia,Cactaceae,North America,3,alien,Xerophyte,Jun.,,toxic,,yes,yes,,Opuntia humifusa,Opuntia humifusa,136679-1,136679-1,Species,TPPT
395,P396,Salsola ruthenica Iljin,Kali-Salzkraut,Common saltwort,Salsola,Amaranthaceae,Europe and Asia,4,domestic,Weed and ruderal plant,Jul.-Oct.,Whole plant,toxic,,,,,Salsola tragus,Salsola tragus,307757-2,307757-2,Species,TPPT
396,P397,Bassia scoparia (L.) Voss,Besen-Radmelde,Burning bush,Bassia,Amaranthaceae,Asia,1.5,alien,Ornamental garden plant,Jul.-Sep.,Whole plant,toxic,,yes,yes,,Bassia scoparia,Bassia scoparia,164422-1,164422-1,Species,TPPT
397,P398,Chenopodium ambrosioides L.,Tee-Gaensefuss,Wormseed goosefoot,Chenopodium,Amaranthaceae,South America,0.7,alien,Weed and ruderal plant,Aug.-Oct.,"Leaf (blooming herb), seed",toxic,,,,,Dysphania ambrosioides,Dysphania ambrosioides,1198060-2,1198060-2,Species,TPPT
398,P399,Chenopodium album L.,Weisser Gaensefuss,White goosefoot,Chenopodium,Amaranthaceae,global,60,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodium album,Chenopodium album,55993-2,55993-2,Species,TPPT
399,P400,Chenopodium bonus-henricus L.,Guter Heinrich,,Chenopodium,Amaranthaceae,Europe,83,domestic,Weed and ruderal plant,Jun.-Aug.,"Leaf (blooming herb), seed",toxic,,,,,Blitum bonus-henricus,Blitum bonus-henricus,30117327-2,30117327-2,Species,TPPT
400,P401,Chenopodium botrys L.,Druesiger Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,5,domestic,Weed and ruderal plant,Jul.-Aug.,"Leaf (blooming herb), seed",toxic,,,,,Dysphania botrys,Dysphania botrys,1076147-2,1076147-2,Species,TPPT
401,P402,Chenopodium ficifolium Sm.,Feigenblaettriger Gaensefuss,Fig-leaved goosefoot,Chenopodium,Amaranthaceae,Southern Europe and Asia,13,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodium ficifolium,Chenopodium ficifolium,164928-1,164928-1,Species,TPPT
402,P403,Chenopodium glaucum L.,Graugruener Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,14,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Oxybasis glauca,Oxybasis glauca,77121014-1,77121014-1,Species,TPPT
403,P404,Chenopodium hybridum L.,Bastard-Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,21,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodiastrum hybridum,Chenopodiastrum hybridum,77121009-1,77121009-1,Species,TPPT
404,P405,Chenopodium murale L.,Mauer-Gaensefuss,,Chenopodium,Amaranthaceae,Mediterranenan,6,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodiastrum murale,Chenopodiastrum murale,77121007-1,77121007-1,Species,TPPT
405,P406,Chenopodium polyspermum L.,Vielsamiger Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,53,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Lipandra polysperma,Lipandra polysperma,77121012-1,77121012-1,Species,TPPT
406,P407,Chenopodium rubrum L.,Roter Gaensefuss,Red goosefoot,Chenopodium,Amaranthaceae,"Europe, Asia and North America",13,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Oxybasis rubra,Oxybasis rubra,77121013-1,77121013-1,Species,TPPT
407,P408,Chenopodium strictum Roth,Gestreifter Gaensefuss,,Chenopodium,Amaranthaceae,,10,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodium album var. album,Chenopodium album,55993-2,65831-3,Variety,TPPT
408,P409,Chenopodium vulvaria L.,Stinkender Gaensefuss,Stinking goosefoot,Chenopodium,Amaranthaceae,Mediterranean,6,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,,Chenopodium vulvaria,Chenopodium vulvaria,165311-1,165311-1,Species,TPPT
410,P411,Beta vulgaris L.,Rueben,Beet,Beta,Amaranthaceae,Europe,agriculture,domestic,Agricultural plant,Jul.-Sep.,"Leaf, tuber",toxic,toxic,,,yes,Beta vulgaris,Beta vulgaris,164505-1,164505-1,Species,TPPT
411,P412,Agrostemma githago L.,Kornrade,Corn-cockle,Agrostemma,Caryophyllaceae,Mediterranean,15,domestic,Weed and ruderal plant,Jun.-Aug.,Seed (or whole plant),strong toxic,strong toxic,,,,Agrostemma githago,Agrostemma githago,150316-1,150316-1,Species,TPPT
412,P413,Saponaria ocymoides L.,Rotes Seifenkraut,rock soapwort,Saponaria,Caryophyllaceae,Southern and Central Europe,35,domestic,Xerophyte,May-Sep.,"Whole plant, highest concentrations in root",weak toxic,,,,,Saponaria ocymoides,Saponaria ocymoides,156626-1,156626-1,Species,TPPT
413,P414,Saponaria officinalis L.,Echtes Seifenkraut,Bouncingbet,Saponaria,Caryophyllaceae,Europe and Western Asia,36,domestic,Weed and ruderal plant,Jul.-Sep.,"Whole plant, highest concentrations in root",weak toxic,,,,,Saponaria officinalis,Saponaria officinalis,156627-1,156627-1,Species,TPPT
434,P435,Fagopyrum esculentum Moench,Echter Buchweizen,Buckwheat,Fagopyrum,Polygonaceae,global,agriculture,alien,Agricultural plant,Jul.-Oct.,Herb,weak toxic,strong toxic,,,yes,Fagopyrum esculentum,Fagopyrum esculentum,694526-1,694526-1,Species,TPPT
437,P438,Cornus sericea L.,Seidiger Hornstrauch,Red osier dogwood,Cornus,Cornaceae,North America,occasionally introduced ,alien,Forest plant,May-Jun.,Aerial part (or whole plant),weak toxic,very strong toxic (cat),yes,yes,,Cornus sericea,Cornus sericea,66169-2,66169-2,Species,TPPT
441,P442,Rhododendron luteum Sweet,Gelpe Alpenrose,Yellow Azalea,Rhododendron,Ericaceae,Eastern Europe,0,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,,Rhododendron luteum,Rhododendron luteum,332817-1,332817-1,Species,TPPT
442,P443,Rhododendron catawbiense Michx.,Catawba-Rhododendron,Catawba rhododendron,Rhododendron,Ericaceae,North America,0,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,,Rhododendron catawbiense,Rhododendron catawbiense,332124-1,332124-1,Species,TPPT
443,P444,Rhododendron simsii Planch.,Indische Azalee,Indian azalea,Rhododendron,Ericaceae,Eastern Asia,0,alien,Ornamental garden plant,Oct.-May,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,,Rhododendron simsii,Rhododendron simsii,333359-1,333359-1,Species,TPPT
